-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
abomeninda,"Inda je o; estanta tiel fia, ke oni devas ĝin i: lepro mian tutan glatan korpon tuj kovris per inda ŝelo Hamlet Hamleto ; indaĵo MT Eliro 8:26 ; vi indigis vian belecon MT, 16:25. li fariĝis tre inda, sekvante la idolojn MT I. reĝoj 21:26 ; la bufo estis terure inda Fab1 Elinjo-fingreto ; indaj, venenaj serpentoj Fab1 Vojkamarado ; forkuri de la inda kriado Fab3 En la lasta tago ; neniam okazis pli inda maljustaĵo Kandid Ĉapitro XXVIII ."
aboni,"Ricevadi, laŭ kontrakto, gazeton aŭ servon: mi de du jaroj as la revuon; la revuo havas multajn antojn; abonat, subscriptor Abbonent abonado abonné előfizető langganpelanggan , plue i la Gazeton de Anoncoj Fab3 Bona humoro; Dum kelkaj jaroj mi abonis la ĵurnalon Ruslanda Esperantisto LOdE 1999:3 (53); Petu senpagan ekzempleron, … sendigu specimenan ekzempleron al viaj ne-antaj amikoj Biblia Revuo, №2, 1968.;"
abono,"Tiucela kontrakto: la prezo de la o estas multekosta; ĉu vi jam renovigis vian on por 2001? Monato; premii per o Gbeglo Koffi Donace subteni ... Monato 2000/06, p. 2 ."
abonigi,Igi iun i : igu al mi loĝion en la Operejo.
abonilo,Formularo por aboni (plenigita aŭ neplenigita): la ilo troviĝas en suba parto de ĉiu paĝo Viki TEJO-aktuale .
ekaboni,"Kontrakti por ricevi, dum difinita tempo, gazeton aŭ servon."
malaboni,Ĉesigi sian on: por mali la liston sufiĉas sendi ajnan mesaĝon […] Viki Yahoogroups
aborigeno,"Ano de iu el la praloĝaj popoloj de Aŭstralio: aŭstralianoj komisias elstaran inon porti la olimpian torĉon Werner Schad: Torĉo de hipokriteco, Monatojaro 2001a, numero 3a, p. 4a."
aborigena,"Rilata al la oj: ĝi same deklaris sin por repaciĝo kun homoj aj Ralph Harry: Nacio kontraŭ rasismo, Monatojaro 1997a, numero 1a, p. 8a."
aborti,"Naski antaŭtempe nevivpovan idon: [se viro] frapos gravedan virinon, kaj ŝi os, tiam oni punu lin per monpuno MT, 21:22; donu al ili ventron eman kaj mamojn sekiĝintajn MT, 9:14."
aborto,Ago i: ŝi ricevis pro oj kaj malfacila laboro virinajn malsanojn Metrop .
"abortaĵo, abortulo","Nevivpova ido: ili malaperu, kiel aĵo virina, kiu ne vidis la sunon MT, 58:8."
abortigi,"Kaŭzi on: [en iu lando], kie eĉ igo estas konsiderata kiel murdo, oni nun sloganas por mortigo de ĉiuj [aidos]-suferantoj UrdHadda, p. 26; avortement infanoj kun genetikaj difektoj estas igataj antaŭ aŭ mortigataj tuj post la naskiĝo Kon11 Ĉefartikolo ; iga drogo. abortif"
abortigilo,"Rimedo, estiganta on: la biblio prezentas preskaŭan katalogon de kontraŭkoncipiloj kaj igiloj Monato W. H. Simcock Abortigo kaj la biblio 2005 ."
