-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
abrupti,"Malmilde, subite aperi, trafi, esprimi: mi ne edziĝos al ŝi! is malkaŝe mia frato Chun-Chan Yeh, trad. W. Auld, Montara Vilaĝo, 1984 ."
abrupteco,"Subiteco, malmildeco: mi neniel povas kompreni la econ de lia amo manlajo, Vorto de la tago 2012, lernu.net, 2014-11-21 ."
malabrupta,"Iompostioma, milda: ŝoseo deklivanta male ĝis […] rivero Chun-Chan Yeh, trad. W. Auld, Montara Vilaĝo, 1984 ."
absceso,"Amaso da puso, kolektiĝinta en kavaĵo meze de ĉirkaŭantaj histoj: sur la loko de la o estos blanka ŝvelaĵo aŭ ruĝete-blanka makulo MT Levidoj 13:19 ; ĝi estas infektaĵo de lepro, ĝi ekfloris en la o MT Levidoj 13:20 ; o estas fermita ankoraŭ tubero kun puso, ulcero estas malfermita vundo, kiu pusas kaj ne povas rapide saniĝi, furunko estas malgranda tubereto sur la haŭto kun iom da enhavo simila al puso LR 2. Vortuzo ."
absciso PV,"La unua el la du karteziaj koordinatoj, kiuj difinas la situon de punkto sur ebeno: la on de punkto oni kutime signas per la litero x; ĉe grafikaĵo de funkcio de unu argumento, la o prezentas la argumenton."
absido,"Apsido: la o, fermita per la ikonostazo, estas rezervita por la sacerdotoj Viki Ĥorejo ."
absideto,"Ĉiu el la akcesoraj formaj kapeletoj, kiuj kronas la on en iuj preĝejoj: navo, duoncirkle volbita kaj apogita sur du flankaj navoj, finiĝantaj per du etoj Viki Preĝejo Sankta Marteno (Laives) ."
absinto,"Specio de artemizio kun tre amara aromo (Artemisia absinthium): maldolĉa kiel o MT Sentencoj 5:4 ; FIG en la mielo, kiu fluas el via buŝo estas multe da o (amareco) interrompis Sara Far1 Ĉapitro XIII ; FIG triono de la akvoj fariĝis aĵo (venena), kaj multe da homoj mortis de la akvoj NT Apokalipso 8:11 ; ŝi eniris en la altan densan sekalon, en kiu abunde kreskis cejanoj kaj o PatrojFiloj VIII ; tiuj ĉi bestetoj ja ne gustas tiel amare, kiel ŝoso de o, ĉu ne vere V. Català, trad. J. Ventura i Freixas, Soleco, 1967 ?"
absintaĵo,Verda likvoro preparita el o:
absoluta,"Senkondiĉa, sendependa, malrelativa, senrezerva, senescepta, senmanka, nepra: mi faros la landon a dezerto MT, 33:28; lia unua sento estis ĉagreno, la dua estis a perdo de humoro Fab1 Galoŝoj de feliĉo ; mi frostiĝas, mi fariĝas a glacio Fab3 Historio de unu patrino ; la solvon de tiu problemo ili rigardis kiel an neeblaĵon Fab3 Supo el kolbasaj bastonetoj ; li vivis ja kiel a malsaĝulo Fab3 Ib kaj malgranda kristino ; via juĝo estas severa kaj a IK Ĉapitro 3a ; ĉiuj frazoj, kiujn li aŭdis, estas la plej a sensencaĵo EE V ; la principa ideo de la hilelismo […] akceptis karakteron an, sendependan de ĉiuj gentaj kaj religiaj apartecoj Homaranismo Dogmoj de Hilelismo ; tion ĉi ne postulas a neceseco Homaranismo Kion Zamenhof ne povis diri en Ĝenevo. ; ŝi deziris ekposedi kiel sian an propraĵon almenaŭ unu jaron, dume jam la morgaŭ ne apartenis al ŝi Marta ; a silento regis en la magazeno Marta ; preskaŭ a mallumo regis ĉirkaŭ ŝi Marta ; depost unu semajno la certeco estis a ChL Ĉapitro Dua ; mi e nenion komprenas IKr BOLĈJO ; absolutament absolument, complètement, entièrement, parfaitement, pleinement, totalement, tout à fait dengan mutlak, dengan absolut, carasecara mutlak, carasecara absolut, benar-benar, penuhsepenuhnya, seluruhnya restis nenio e, nek por mordi nek por gluti PrV."
absolutismo,"Sistemo de regado per a potenco: li metos bridon sur la ismon de l' pastroj Far2 Ĉapitro XXIII ; en la rusa kamparano furiozas la cara ismo J. Baghy, Sur Sanga Tero, 1933; Pio 9a […] dum la unua Vatikana Koncilio per dogmo deklaris sin mem neeraripova kaj regadis isme Stefan Maul Vatikano rebatas Monato 2000/11, p. 18 ."
klera absolutismo,"En la soci-politika filozofio klerisma, ideala monarkio en kiu la a monarko realigas la progresemajn principojn de Klerismo: [Katarino la Granda] interesiĝis pri la literaturo kaj havis rilatojn kun la francaj enciklopediistoj, subtenante iliajn ideojn pri la klera ismo A.S. Puŝkin, tr. N.Nekrasov: Eŭgeno Onegin. SAT, 1931. Noto pri 1:26. ."
absolutivo,"En iuj ergativaj lingvoj, kazo kiu markas ambaŭ la subjekton en netransira frazo kaj la rektan komplementon en transira frazo: en la ĉuvaŝa ne ekzistas specifa akuzativa kazo, por ĝi oni uzas jen on, jen dativon H. Alòs i Font La turka: pli granda, pli diversa familio Monato, 2013:06, p. 22a ."
absolvi,"Pekliberigi: per preĝado dum ni uzurpos kaj pekos ni persvados la Diojn i nin de puno Rsp ; jen la verdikto […] kaj signo por vi […], vi montros ĝin al la episkopo, li os al vi ankaŭ tiun antaŭan mortigon, kiun vi malgraŭvole plenumis QuV ; FIG mi petas la Leganton i min de la priskribo (rezigni pri) de la ekbruanta orelfenda hurlado VaK ."
absolvo,"Pekliberigo: laŭ la leĝo, preskaŭ ĉio puriĝas per sango kaj sen sangoverŝado ne fariĝas o NT Hebreoj 9:22 ; kie estas o de ĉi tiuj, ne plu estas oferado pro peko NT Hebreoj 10:18 ; je-es bruis la homoj, kvazaŭ ili ricevus on pro sia malobservo de la sankta tago A. Strindberg, trad. S. Johansson, Insulanoj De Hemsoe, 2005 ."
absorbi,"Okupi ekskluzive la spiriton aŭ la atenton: tiuj fabeloj […] tiel forte as la menson kaj ravas la imagon de infanoj Marta ; la miraklo tute is ilian intereson, kaj ili restis senmovaj InfanTorent2 Dua Parto ; lia penso estis okupita per Ligia kaj serĉado de ŝi meze de la amaso is lian atento QuV Ĉapitro XX ; la legado de la artikoloj pri mi mem min tiom is, ke mi ne rimarkis ŝin aperi antaŭ mi MkM 13 ; la esprimo de lia vizaĝo estis ita kaj malgaja PatrojFiloj IV ; absorbit, embegut absorbé (pensif), affairé (à réfléchir), concentré (dans sa réflexion), pensif, pris (dans ses pensées)"
absorbiĝi,"Turni sian atenton tute al iuj pensoj: mi provis legi kaj tremante mi baldaŭ iĝis en io, kion mi trovis en tiu malbenita Necronomicon H. P. Lovecraft, trad. C. Kisa, La Soleno, 2003 ; mi pli kaj pli iĝis en la vivo de trikapa familio Kon11 Tiel la mondo... ; en la oficejo oni iĝas tiel, ke eĉ hejme malfacilas halti: la ĉiutagaj hejmaj laboroj bolas Monato Laimius Stražnickas Mia estrino estas vampiro 2007 ."
abstini,"Sin deteni, pro principo, de iaj plezurigaj agoj (manĝi, trinki, fumi, ktp); sin deteni manĝi aŭ trinki ion pro medicina motivo: i je kafo, je amoro; laŭ la principoj de la unuaj kristanaj komunumoj […] ili plene as de fumado kaj alkoholo Idealismo kaj realismo ; kiel islamanoj, la uzbekoj as de alkoholaĵo, porkaĵo kaj hundaĵo Uzbekoj ."
abstinado,"Stato aŭ vivmaniero de iu, kiu as; abstinenco: la vinindustrio do spertas notindan krizon rilate enlandan konsumadon favore al biero aŭ al ado Monato Roberto Pigro Bieroj supren, vinoj malsupren 2013 ; la katolika ado estas mildigo de fasto PIV1."
abstinema,Kiu volonte aŭ kutime as: la devigaj alkoholaĵoj jam efikis forte al la nervoj de la kutime ema [ulo] Monato Franz-Georg Rössler La unua nokto 2004 .
abstinulo,"Persono kiu kutime as, sin detenas de iuj plezuraĵoj: alkohol-uloj Monato Leif Heilberg Menso sana en korpo nuda 2005 ; triono postulas ĉiutage vinon ĉetable, dum 6 % estas uloj kaj tute rifuzas vinon Monato Roberto Pigro Bieroj supren, vinoj malsupren 2013 ; mi povis fini nian biciklan komercon per intervira manpremo, sed sen negoca drinko, ĉar tiu kuzo apartenas al la ula branĉo de mia familio S. Johansson, Biciklo de Eterno, 1992 ."
abstinenco,"Abstinado: la novplatonismano Porfirio de Tiro (3-a jarcento), en Pri o, ligas vegetarismon al misterokulto de Kreto Viki Nutrado en antikva Grekujo ."
abstrahi,"Mense formeti, forigi iujn trajtojn aŭ cirkonstancojn de analizata fenomeno, objekto, situacio (dum konstruado de abstraktaĵo): Por teoria analizo oni devas i de multaj fizikaj aspektoj, por ke la analizado ne estu infinite malfacila Stato-ekvacioj. AIS-Sanmarino; Se do en ĉi tiu libro mi skribas pri lernantoj, tiam tio ne nur signifas kaj blondajn kaj nigreharajn homojn, kiuj lernas, sed mi as eĉ de la seksaj diferencoj malpli okulfrapaj ... H. Frank: Klerigkibernetiko ."
absurda,"Kontraŭa al la komuna saĝo: la ideo pri la senfina movo estas a; la komisio firme decidas, ke la projekto senkondiĉe estas a FK ; mi estas forte malsana! - li ĝemis, […] ĉu eble mi iru returne kaj rakontu, kiel mi fartas? - sed tio aspektus ja iom e Fab1 Galoŝoj de feliĉo ; a logiko Otto Haszpra Monato 2000/02, p. 4 ; estas e riproĉi al la papo kaj al ties kardinaloj, ke ili estas konservativaj Reinhard Haupenthal Mallogika kaj senracia Monato 2000/03, p. 4 ."
"absurdaĵo, absurdo","Io a: - Ha, panjo, vi estas pli ĝuste kera damo - o, plena o, mi neniam estis kera damo Revizoro Akto tria ; ekzistas grandega nombro da vortoj (fremdaj), kiuj al ĉiuj estas konataj sen ellernado, kaj kiujn ne uzi estus rekta o EE ; vi diras aĵojn; absurditat Unsinn, Ungereimtheit, Widersinn absurdité abszurditás, képtelenség la birdoj nun [la aerostaton] plu ne akompanis, […] ĝi ne estas inda la postflugadon, ĝi estas nenio, ĝi estas aĵo! Fab3 Ŝtono de la saĝuloj ; MAT oni povas pruvi tiun geometrian proponon (propozicion) per o PIV1 (per redukto al o). absurd (subst.) Widerspruch (Logik) absurde (subst.) képtelenség"
absurdeco,"a, sensenca karaktero de io: belan ekzemplon de tia eco ni havis […], kiam la Komisiono prezentis direktivon pri sunprotektado (jes!) Monato Stefan Maul EU-fiasko ."
Abudabio,Ĉefurbo kaj emirlando de Unuiĝintaj Arabaj Emirlandoj situo: (24˚28N 54˚22E): arabaj kaj okcidentarabaj nombroj sur ŝosesignalo en o Viki Hind–araba nombrosistemo ; o estis fondita en 1760 kaj estis sidejo de lokaj regantoj Viki Abudabio .
Abuĝo,"La ĉefurbo de Niĝerio situo: (9˚04N 7˚29E): partoprenis la eksterordinaran kunvenon en o, ĉefurbo de Niĝerio, la prezidantoj de Niĝerio, Liberio, Ebur-Bordo, Togolando, Gambio, Burkino, Ganao kaj Siera-Leono Monato Princo Henriko Oguinye Solidaras soldatoj sed ĉu por demokratio? 2009 ; en la centro de o […] kelkajn metrojn for de la niĝeria prezidanto kaj liaj gastoj, eksplodis bomboj Monato Princo Henriko Oguinye Jubileo sen jubilado 2010 ; o […] estas planita urbo kaj estis konstruita ĉefe en la 1980-aj jaroj Koronavirusaj Kreskoj Pliiĝis post Niĝeria Lifts-Serrujo ... ."
abunda,"Estanta en pli ol sufiĉa kvanto: a rikolto, stilo, argumentado, programo; granda aglo kun grandaj flugiloj kaj aj plumoj MT Jeĥezkel 17:7 ; ni havas sur la kampo ajn provizojn da tritiko, hordeo, oleo MT Jeremia 41:8 ; prisemebla kampo, aranĝi[ta…] apud a akvo MT Jeĥezkel 17:5 ; la aĵon, kiun ili kolektis, kaj sian ŝparitaĵon ili transportas trans la riveron de la salikoj MT, 15:7; miaj ambaŭ okuloj e fluigas akvon MT, 1:16; en abundància, copiosament abondamment, amplement, copieusement, énormément, à foison, largement, à profusion, en quantité carasecara berlimpah, carasecara melimpah, dengan berlimpah, dengan melimpah banyak la tagmanĝo, kvankam rapide farita, estis tre bona, eĉ a PatrojFiloj XX ; ekfluis larmoj, guto post guto, aj, pezaj Marta ; a gasa lumo ĉirkaŭfluis tiun figuron Marta ; la tuta 4-a jarcento estis la epoko de ĉiuflanka kaj a florado de la oratora arto Ret Dua Parto ; saĝo a, sed ne profunda PrV ; kiu ripetas e, lernas plej funde PrV."
abundi,"Esti a: ĉu ni restu en peko, por ke graco u NT, 6:1? u al vi ankaŭ ĉi tiu graco NT, 8:7; la lando is je riveroj kaj lagoj PIV1; igu ĉe vi la amon de unu al la alia NT, 3:12."
abundo,"Pli ol sufiĉa kvanto, malmanko: la Eternulo donos al vi on da bono en la frukto de via ventro MT, 28:11; o da afliktoj MT, 14:1, da paco kaj vero MT, 33:6; pro la o (eco) de lakto li manĝos buteron MT, 7:21; ĉie kaj ĉiel mi lernis la sekreton pleniĝi kaj malsati, havi on kaj havi mankon NT, 4:12."
abundeco,"Stato karakterizata de o: jen venos sep jaroj de eco en la tuta Egipta lando MT, 41:29; el la eco de koro la buŝo parolas (elverŝas la bonaĵojn de la koro) NT, 12:34."
malabunda,"En tre malgranda kvanto: malaj restaĵoj de la iama tegmento estis kovritaj de musko Fab4 La vento rakontas pri Valdemaro Doe kaj pri liaj filinoj ; malaj financaj rimedoj EeP Unua Parto ; neniu alia lingvo estas ellernebla […] el tiel mala materialo EeP Unua Parto ; ŝtonmurego […][…] kovrita de mala herbaro ChV 5 ; liaj poeziaj verkoj, malaj, estas framoj delikataj kaj elegantaj EeP Dua Parto ; en sia mala libertempo, li estas direktoro de la urba ĥoro Monato Albisturo Kvinke Proksimaj kaj malproksimaj najbaroj 2009 ."
malabundi,"Esti mala, malmulta, maldensa: samaĝuloj malis FSI I ; urbo, kie plezuroj malas, kie luksaj kafejoj estas kalkuleblaj ĉe la fingroj de unu mano Alobrogo, En Ĝenevo dum la konferenco, Esperanto, 1932-03 (379), p. 54a ; malas rimedoj por forigi la ruinojn kaj ĉion poste ordigi Monato Bardhyl Selimi Politiko duondetruita 2006 ; malas fabelkolektoj en Esperanto Monato Donald Broadribb Fabeloj tradiciaj kaj moderne verkitaj 2008 ."
malabundo,"Malmulteco, maldenso: malo de pura akvo Kon11 Ezopo en la Moderna Mondo ; plenkreskuloj, nelaste pro troa laboro […] montras nuntempe ian malon de melatonino Monato Roberto Pigro Dormu bone, vivu bone (per melatonino) 2012 ; klimata ŝanĝiĝo kontribuos al malo de nutraĵoj kaj al manko de dolĉa akvo Monato Lenio Marobin Klimata ŝanĝiĝo kaj konfliktoj: kia interrilato? 2014 ."
"superabundi, troabundi","Esti en tia kvanto, kian oni ne povas utile uzi: kie peko plimultiĝis, graco multe pli superis NT, 5:20."
"superabundo, troabundo, troabundeco PV","Malagrabla, embarasa o: ni estas vere feliĉa generacio! kion do ni ne posedas en troeco Leono Zamenhof, trad. L. Dreher, Troabundo de Inteligentularo, Pola Esperantisto, 1934, p. 151a ?"
abutmento,"Fortika masonaĵo, konstruita ĉe ambaŭ ekstremoj de ponta arko por kontraŭstari ĝian puŝon: barelvolbo aŭ cilindrovolbo estas volbo kun du egale longaj oj Viki Barelvolbo ; bildo de ŝafido, mortigita de leono ĉe o apud la suda flanko de la absido Viki Saalkirche Ingelheim ."
-ac,"Neoficiala sufikso, uzata por nomi familiojn laŭ la botanika nomenklaturo. La sufikso aplikiĝas al genro, foje specio el la familio por formi la familinomon: La rozo apartenas al la familio rozacoj."
acero,"Genro el familio acoj (Acer), kun manforme entranĉitaj folioj kaj flugilhavaj fruktoj: mi komencis aĉeti belajn arbojn kaj plantis ilin en la herbaro: ekzemple ojn kun bela ŝelo, plorantan fagon, pirarbon kaj pomujojn Máire NicAoidh Ĝardenumi Monato 2000/04, p. 20 ."
aceracoj,"Familio de dukotiledonaj plantoj (Aceraceae), arboj kaj arbedoj, kies fruktoj, nuksoj, havas du flugilojn: oni jam longe scias ke la oj estas proksime parencoj al la sapindacoj Viki Aceracoj ."
acerba,"Acideta simile al nematura frukto: ŝi sentis nokte, ke la kapo pezas, okuloj as, nazo ŝtopiĝas RugxDom, ĉapitro 64a, volumo 2a, p.. 391a; la sorgograjno ĉe ni, en sud-orienta Shanxi-provinco, […] estis amare a kaj malfacile englutebla, kaj kaŭzis internan varmon al la manĝantoj Monato Wei Yubin La biciklo de mia patro 2012 ."
aceto,"Vinagro: Jaĉjo ŝtelis hejme botelon da o, ni ŝutis en ĝin pistitan kreton, la o eksiblis kiel ŝaŭmakvo, kaj sur la fundon falis griza pulvoro — kalcia acetato Genriĥ Altov, trad. Jurij Finkel Angulo de atako ."
acetato,"Salo el vinagra acido kaj bazo: natria o, o de natrio aŭ H3C-COO-Na estas neorganika natria salo de a acido Viki Natria acetato ; celuloza o respektive celuloza trio estas speco de plasto, produktita el celulozo pere de kemia reago kun aceta acido Viki Celuloza acetato ."
acetilo,"C2H3O, radikalo de acetata acido: se o Koenzimo A superigas la sufiĉan kvanton por tiuj elnombritaj vojoj, formiĝas ketonaj korpoj – acetoacetato, acetono, beta-hidroksibutirato, kiel okazas, ekzemple, ĉe Diabetes melitus Eva Bojaĝieva Lipida metabolo: kolesterolo – miskomprenoj kaj realeco ."
acetileno,"C2H2, bruligebla gasa hidrokarbonido, uzata por lumigado kaj aliaj industriaj bezonoj: etino, aŭ pli malmoderne o, estas kemia kombinaĵo H-C≡C-H, kiu estas en normalaj kondiĉoj gaso, ĝi havas pli altan temperaturon de brulado (ĝis 3.000 ºC) ol plejmulto da aliaj substancoj kaj pro tio estas uzata en teĥniko por veldi Viki Etino ."
"acetilĥolino, acetilĥolino","C7H16NO2, nervotransigilo aktiva en la centra kaj en la malcentra nervaro: bazo de la kuracado estas meza dozo de kortikoidoj […] kun o en funkcio kiel antioksida aganto J. Hradil, Idiopatia pulma fibrozo, en: Mallongaj artikoloj, [vidita en 2008] ; [fagopiro] estas grava fonto de ĥolino, kiun homa korpo bezonas por krei on Viki Soba ; o estas acetata estero de kolino Viki, acetilkolino, 2013-04-05 ."
acetono,"Senkolora likvaĵo, kun odoro de vinagro aŭ maturaj bananoj, CH3(CO)CH3, la plej simpla ketono; uzata kiel organika solvilo, ekz. por forigi ungolakon kaj dum produktado de plastoj: o […] bolas je temperaturo de 56,2 °C, ĝi miksiĝas kun akvo [kaj] estas produktata i.a. el propileno, acetileno per katalizilo kaj akvovaporo Viki Acetono ."
acida,"Havanta akran guston, kiel tiu de vinagro aŭ citrono: via vino estas nur ia abomena aĵo F, ekzercaro, ¶ 35; piquette post dolĉa vino restas a vinagro PrV ; li […] eltrinkis an bieron Far1 Ĉapitro IV ; kvazaŭ aĵo en la lakto Hamlet ; la eco de tiu ĉi vinagro estas tre malforta F 35 ; [mi] finnotis la recepton ĝis la lasta guto de aldonota a kremo Spomenka Štimec Ombro sur interna pejzaĝo ."
acido,"Kombinaĵo de hidrogeno kun acida restaĵo (SO42-, NO3-, Cl- kaj aliaj), kiu reagas kun metaloj kaj bazoj, formante salojn, kaj ruĝigas lakmuson: bora o FK ; en tiuj ĉi boteletoj sin trovas diversaj oj: vinagro, sulfuro, azoto kaj aliaj F, ekzercaro, ¶ 35; citrono estas frukto […] hava Fab4 Abocolibro ."
"aminacido, amina acido","Eta molekulo konsistanta el acido (-COOH) kaj amino (-NH2 aŭ -NH-), baza elemento de proteino: la proteinaj fibroj entenataj de la silkaĵoj havas aminajn ojn utilajn al la homa sano, kiuj estas efikaj por preventi radiadon de sunlumo -, Silkaĵoj estas utilaj..., [2003] ; sciencistoj pensas, ke formiĝis el la mineralaj eroj de la unuaj ŝtonoj kun la helpo de la fulmenergioj la unuaj aminoj G. V. Lüpke, trad. Donjo kaj Cezar, Ĉu ŝtonoj tamen vivas?, 2008-11-14 . nomoj de la plej oftaj aminoacidoj: Alanino (Ala, A), Glicino (Gly, G), Tirozino (Tyr, Y), Arginino (Arg, R), Asparagino (Asn, N), Aspartato (Asp, D), Cisteino (Cys, C), Fenilalanino (Phe, F), Glutama acido/Glutamato (Glu, E), Glutamino (Gln, Q), Histidino (His, H), Izoleŭcino (Ile, I), Leŭcino (Leu, L), Lizino (Lys, K), Metionino (Met, M), Prolino (Pro), Serino (Ser, S), Treonino (Thr, T), Triptofano (Trp, W), kaj Valino (Val, V). Viki, Aminacido,"
desoksiribonuklea acido,"Nukleacido enhavanta la plenajn genajn informojn de ĉelo: la desoksiribonuklea o […] estas la portanto de genetika informo D. Benoit-Browæys, trad. J.-M. Cash, Kaj nun : konstrui vivan materialon, le Monde diplomatique, 2010-08 ; la strukturo de la DNA estis […] malkovrita en 1953 Viki, DNA, 2010-08-21 ."
karbonacido,"(H2CO3) Acido, reaga produkto de karbondioksido kun akvo: ŝaŭmvino kun aldonita karbono Ŝaŭmvino ; karbon-enhavaj trinkaĵoj kiel limonado kaj biero Trinkboteloj el sukero | Esperanta Retradio ."
"nukleacido, nuklea acido, kernacido","Granda molekulo el serio de nukleotidoj, trovebla en la ĉeloj de ĉiuj vivuloj: Asimov laboris kiel profesoro de bioĥemio […], esplorante pri nukleo Viki, Isaac Asimov, 2007-03-10 ; laŭ nuna scio, el ĉiuj molekuloj sin reprodukti povas nur molekuloj de nuklea o D. Budden, Kiel Aperis Vivo, 2010-09-17 ."
ribonuklea acido,"Nukleacido povanta interalie kopii kaj transporti partan informon de DNA-serio: oni klasas la nukleajn ojn en du kategoriojn: ribonukleajn ojn (RNA), troviĝantajn ĉefe en la citoplasmo de vivantaj ĉeloj kaj desoksiribonukleajn ojn (DNA), troviĝantajn en la nukleoj de ĉeloj Viki, nuklea acido, 2010-08-03 ."
acipenseredoj,"Familio el la ordo acipenserformaj fiŝoj (Acipenseridae), kun plata kapo kaj sendenta buŝo: la ĉina acipensero estas fiŝo el la […] familio de oj [kaj] vivas ĉefe en la riveroj […] de Ĉinio Viki Ĉina acipensero ."
acipensero,"Genro el familio edoj (Acipenser) de grandaj primitivaj ostofiŝoj, vivantaj en maroj de la norda duonsfero kaj frajantaj en riveroj; el la frajo de kelkaj ĝiaj specioj oni faras kaviaron: en Jenisejo vivas 55 specoj de fiŝoj […] ekzemple, la sib[e]ria o, la sib[e]ria karpo ktp Viki Jenisejo ."
acipenserformaj,"Ordo de ostofiŝoj (Acipenseriformes), kun parte kartilaga skeleto."
Acoroj,"Insularo en Atlantiko, apartenanta al Portugalujo, ĉ. 1500 km okcidente de Lisbono: Pico, vulkano 2351 metrojn alta […] estas la plej alta en la oj Viki Acoroj ; António Dacosta […] naskiĝis sur la Insulo Terceira en la oj, kie li komencis siajn unuajn artistajn studojn Viki António Dacosta ."
aĉakaturo,"Melodiornamo uzata en klasika eŭropa muziko, kiu antaŭmetas antaŭ la tono tre mallongan komencan tonon duon- aŭ plendute diferencan, aŭdatan kiel preskaŭ samtempan: la on oni eble plej bone rigardu pli mallongan, malpli melodie gravan, variaĵon de la apoĝaturo Viki Ornamo (muziko) ."
aĉeti,"Akiri per mono: mi is dekon da ovoj F 32 ; se vi os el la manoj de via proksimulo, unu ne malprofitigu la alian MT Levidoj 25:14 ; li malkare is la ĉevalon Kandid Ĉapitro X ; i malmultekoste ChV 19 ; li aĉetis por la du knabinoj belajn vestojn, perlojn kaj multekostajn ŝtonojn ElektFab Cindrulino ; mi venas al vi kun peto, ke vi volu i de mi mian tempon kaj la laboron de miaj manoj Marta ; ĉu vi volas i senmortecon per bruligmortigoj Rabistoj Akto Tria ? per la fruktoj de l’ farita krimo ⫽ i la favoron de la leĝo Hamlet Hamleto ; la bankiero is […] kampodomon ĉirkaŭitan de granda ĝardeno ChL Ĉapitro Tria ; mi ĝin os por la prezo, kiun vi petos ChL Ĉapitro Naŭa ; Ove Ramel […] is per aŭkcio la kastelon kaj la tutan meblaron Fab4 La vento rakontas pri Valdemaro Doe kaj pri liaj filinoj ; estis la glora epoko de financistoj kiuj is, vendis kaj dispecigis kompaniojn R. Rotsaert, Piramidaj investoj..., Monato, jaro 1997a, numero 7a, p. 24a ; marĉandado i ne devigas PrV ; mankis al Petro klopodoj, li is al si domon PrV ."
